CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
Introduction,20150104,jour,12,298814.046,5039154.917,45.4922919877,-73.5765850089
Introduction,20150104,jour,23,302404.529,5046222.679,45.555912068,-73.5306825057
Introduction,20150104,soir,38,298080.2968,5042832.373,45.5253765684,-73.5860230651
Introduction,20150104,soir,23,302530.158,5046508.525,45.5584846293,-73.5290747073
Introduction,20150104,soir,7,290943.654,5043441.622,45.53075347,-73.6774005359
Introduction,20150104,soir,30,294622.351,5048134.239,45.5730426165,-73.6304005363
Introduction,20150104,soir,26,294734.802,5040974.967,45.5086226335,-73.6288125769
Introduction,20150104,soir,45,297439.29,5054223.221,45.6278683804,-73.5944005648
Introduction,20150104,soir,44,299776.493,5046097.725,45.5547736887,-73.5643425326
Introduction,20150104,soir,27,293279.513,5046254.433,45.5561066175,-73.6475612249
Introduction,20150104,soir,21,299962.84,5041609.764,45.5143906516,-73.5619114187
Introduction,20150104,soir,13,292395.406,5032202.5,45.4296463492,-73.6585301964
Introduction,20150105,nuit,23,301846.155,5044965.814,45.5446002075,-73.5378268774
Introduction,20150105,nuit,42,296101.938,5049546.5,45.5857706203,-73.6114685957
Introduction,20150105,jour,44,298310.28,5045923.591,45.5531946505,-73.5831198857
Introduction,20150105,jour,20,298915.736,5040361.061,45.503146256,-73.5752984403
Introduction,20150105,jour,20,299244.491,5040219.746,45.5018773393,-73.5710899045
Introduction,20150105,jour,42,297829.43,5047660.465,45.5688189646,-73.5893033285
Introduction,20150105,jour,23,301567.396,5044799.708,45.5431042875,-73.5413955615
Introduction,20150105,jour,26,295797.546,5040825.557,45.5072927092,-73.6152090587
Introduction,20150105,jour,27,293279.513,5046254.433,45.5561066175,-73.6475612249
Introduction,20150105,jour,21,299420.778,5040810.504,45.5071946104,-73.5688405653
Introduction,20150105,jour,7,291324.382,5043289.217,45.5293895427,-73.6725219673
Introduction,20150105,jour,15,298176.001,5035864.533,45.4626778315,-73.5847038518
Introduction,20150105,jour,45,299816.574,5055978.836,45.6436869058,-73.5639300564
Introduction,20150105,jour,8,288644.219,5033568.5,45.4418616759,-73.7065147638
Introduction,20150105,jour,15,300212.184,5037780.05,45.4799309049,-73.5586842284
Introduction,20150105,jour,39,295633.563,5052876.5,45.6157288006,-73.6175335134
Introduction,20150105,jour,27,293544.508,5046874.818,45.5616933701,-73.6441812996
Introduction,20150105,jour,20,298113.992,5039600.681,45.4962968097,-73.5855476466
Introduction,20150105,jour,23,302375.198,5046522.116,45.5586064034,-73.5310596776
Introduction,20150105,jour,13,294277.563,5030873,45.4177136533,-73.6344479804
Introduction,20150105,soir,7,291279.887,5041244.778,45.5109920788,-73.6730352139
Introduction,20150105,soir,23,302474.396,5046380.616,45.5573334763,-73.5297883619
Introduction,20150105,soir,20,298963.322,5040110.414,45.5008912278,-73.5746865207
Introduction,20150105,soir,46,300071.477,5050516.203,45.5945345975,-73.5606070468
Introduction,20150105,soir,23,300880.931,5046216.744,45.5558517544,-73.5501975305
Introduction,20150105,soir,26,295216.872,5040460.206,45.5039973962,-73.622633089
Introduction,20150105,soir,22,300495.603,5042438.087,45.5218477274,-73.5550997956
Introduction,20150105,soir,48,303873.399,5050748.354,45.5966390176,-73.5118769961
Introduction,20150105,jour,15,300212.184,5037780.05,45.4799309049,-73.5586842284
Introduction,20150105,soir,48,303873.399,5050748.354,45.5966390176,-73.5118769961
Introduction,20150105,soir,8,290873.75,5033356.5,45.4400019672,-73.6780094522
Introduction,20150105,soir,35,296383.197,5044644.479,45.5416641352,-73.6077797941
Introduction,20150105,soir,8,290873.75,5033356.5,45.4400019672,-73.6780094522
Introduction,20150106,nuit,44,298477.153,5045850.864,45.5525417632,-73.5809816501
Introduction,20150106,nuit,31,294764.963,5045251.925,45.5471087116,-73.6285141918
Introduction,20150106,nuit,42,297829.43,5047660.465,45.5688189646,-73.5893033285
Introduction,20150106,jour,49,305561.436,5055567.513,45.6400032046,-73.4902325316
Introduction,20150106,jour,21,299962.84,5041609.764,45.5143906516,-73.5619114187
Introduction,20150106,jour,20,298848.786,5039959.609,45.4995332524,-73.5761503004
Introduction,20150106,jour,27,291853.163,5046735.353,45.5604090223,-73.665843418
Introduction,20150106,jour,31,295050.158,5045364.216,45.5481231945,-73.6248640741
Introduction,20150106,jour,22,300655.926,5042437.848,45.5218465482,-73.5530475292
Introduction,20150106,jour,20,299538.007,5040210.289,45.5017945169,-73.5673338898
Introduction,20150106,jour,49,305032.495,5057186.147,45.654568379,-73.4970168521
Introduction,20150106,jour,15,296878.913,5035108.021,45.4558568656,-73.6012780479
Introduction,20150106,jour,44,297650.187,5045455.189,45.5489733444,-73.5915674565
Introduction,20150106,jour,35,295557.599,5043864.78,45.5346376625,-73.6183370951
Introduction,20150106,jour,23,301917.404,5045127.869,45.5460587354,-73.5369154188
Introduction,20150106,jour,13,294550.666,5031192.381,45.4205916698,-73.6309651238
Introduction,20150106,soir,38,297968.028,5042624.159,45.5235018871,-73.5874573824
Introduction,20150106,soir,45,299415.397,5057574.622,45.6580430953,-73.5690942197
Introduction,20150106,soir,20,299664.953,5038956.901,45.4905169322,-73.5656963395
Introduction,20150106,soir,42,296220.469,5049092.5,45.5816868705,-73.6099416095
Introduction,20150106,soir,11,296432.578,5037331.532,45.4758598678,-73.6070226766
Introduction,20150106,soir,23,301262.768,5045638.643,45.5506518448,-73.5453025801
Introduction,20150106,soir,22,300928.395,5043103.095,45.5278342682,-73.5495649616
Introduction,20150106,soir,22,300377.805,5042260.085,45.5202452573,-73.5566060993
Introduction,20150106,soir,30,295979.258,5047426.057,45.5666886996,-73.6130025018
Introduction,20150107,nuit,38,297673.907,5042772.08,45.5248299927,-73.5912246282
